gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,pagerank,pass_through,depth,is_seed,truncated_by_depth,hub,authority,betweenness,net_kzt,n_seed_in,in_cycle,turnover_days,in_tx,out_tx
100000000011452100,consolidator,0.40600000000000003,0,0.67859999999999998,"Признаки консолидации: 3 плательщиков, seed=1; вх 110000 KZT/7 перев.; исх 16685 KZT/2 перев.",3,1,110000,16685,0.000487245156,0.1516818181818182,1,False,False,0,0,0,93315,1,True,0,7,2
100000000018102100,terminal,0.34999999999999998,0,0.24340000000000001,Слепая зона: 4-е колено; нужен запрос 5-го; терминал не подтверждён; вх 7000 KZT/1 перев.; исх 0 KZT/0 перев.,1,0,7000,0,0.00031863672899999998,0,4,False,True,0,0,0,7000,0,False,-1,1,0
100000000031787100,transit,1,10,0.63229999999999997,"Признаки транзита: out/in=1, цикл=1; вх 90000 KZT/2 перев.; исх 90000 KZT/4 перев.",1,2,90000,90000,0.00042887213500000001,1,2,False,False,0,0,3.9629400000000001e-07,0,0,True,2,2,4
100000000041368100,terminal,0.873,3,0.3826,Гипотеза терминала: исходящие не наблюдаются; вх 160000 KZT/1 перев.; исх 0 KZT/0 перев.,1,0,160000,0,0.00031581583900000001,0,1,False,False,0,0,0,160000,1,False,-1,1,0
100000000076451100,transit,0.85599999999999998,15,0.72670000000000001,"Двусторонний поток: out/in=0.661, цикл=1; вх 87707 KZT/4 перев.; исх 58000 KZT/4 перев.",3,4,87707,58000,0.0013836360200000001,0.661292713238396,2,False,False,0,0,9.7686397999999995e-05,29707,0,True,2,4,4
100000000089154100,distributor,0.58399999999999996,0,0.63300000000000001,"Признаки распределения: 15 получателей, hub=0; вх 10000 KZT/1 перев.; исх 425500 KZT/21 перев.",1,15,10000,425500,0.00028589916699999998,42.549999999999997,1,False,False,0,0,3.8044194999999997e-05,-415500,1,True,3,1,21
100000000190228100,transit,0.72199999999999998,2,0.54569999999999996,"Двусторонний поток: out/in=5.71, цикл=0; вх 5000 KZT/1 перев.; исх 28560 KZT/1 перев.",1,1,5000,28560,0.00057855776600000003,5.7119999999999997,2,False,False,0,0,2.1598007000000001e-05,-23560,0,False,-1,1,1
100000000201868100,transit,1,54,0.6169,"Признаки транзита: out/in=1, цикл=1; вх 190000 KZT/1 перев.; исх 190000 KZT/1 перев.",1,1,190000,190000,0.00096752030200000002,1,2,False,False,0,0,0,0,0,True,1,1,1
100000000254336100,transit,0.375,0,0.43880000000000002,"Двусторонний поток: out/in=0.617, цикл=0; вх 97177 KZT/2 перев.; исх 60000 KZT/1 перев.",2,1,97177,60000,0.00029035716399999998,0.6174300503205491,3,False,False,0,0,1.9220244999999999e-05,37177,0,False,0,2,1
100000000267734100,distributor,0.5,10,0.79559999999999997,"Признаки распределения: 7 получателей, hub=0; вх 180000 KZT/4 перев.; исх 282000 KZT/8 перев.",2,7,180000,282000,0.00053390101199999999,1.5666666666666667,1,False,False,0,0,3.566643e-06,-102000,1,True,7.5,4,8
100000000274067100,transit,0.91500000000000004,10,0.71889999999999998,"Двусторонний поток: out/in=5.73, цикл=1; вх 517704 KZT/9 перев.; исх 2.969e+06 KZT/9 перев.",2,3,517704,2969000,0.0004111734,5.7349373387109237,1,False,False,0,0,1.1888810000000001e-06,-2451296,1,True,0.5,9,9
100000000287768100,terminal,0.70799999999999996,0,0.19420000000000001,Гипотеза терминала: исходящие не наблюдаются; вх 35168 KZT/1 перев.; исх 0 KZT/0 перев.,1,0,35168,0,0.00028713233800000001,0,3,False,False,0,0,0,35168,0,False,-1,1,0
100000000288317100,transit,0.42199999999999999,0,0.52590000000000003,"Двусторонний поток: out/in=0.535, цикл=0; вх 100000 KZT/2 перев.; исх 53500 KZT/3 перев.",2,3,100000,53500,0.00031110423400000002,0.53500000000000003,3,False,False,0,0,5.8255174e-05,46500,0,False,2.5,2,3
100000000291906100,transit,0.89500000000000002,50,0.76160000000000005,"Признаки транзита: out/in=1.17, цикл=1; вх 388000 KZT/3 перев.; исх 455854 KZT/6 перев.",2,2,388000,455854,0.00075795215300000004,1.1748814432989692,2,False,False,0,0,7.8069858999999997e-05,-67854,0,True,3,3,6
100000000291908100,peripheral,0.10000000000000001,50,0.4703,Недостаточно структурных признаков; вх 295500 KZT/5 перев.; исх 13300 KZT/1 перев.,1,1,295500,13300,0.00070166800200000001,0.045008460236886635,3,False,False,0,0,1.9814685000000001e-05,282200,0,False,4,5,1
